InventoryID,ProductID,WarehouseID,QuantityOnHand,ReorderPoint,SafetyStock,LastStocktakeDate,InventoryValue
1,176,1,354,169,36,31/08/25,69468.96
2,224,1,1382,111,22,31/08/25,111168.08
3,58,1,247,249,127,31/08/25,29225.04
4,106,1,561,101,40,31/08/25,214576.89
5,56,1,785,145,46,31/08/25,294948.05
6,331,1,1220,197,35,31/08/25,25656.6
7,170,1,924,265,134,31/08/25,398650.56
8,92,1,515,244,24,31/08/25,96217.45
9,105,1,100,75,20,31/08/25,29107
10,305,1,1425,174,64,31/08/25,171470.25
11,236,1,1353,210,79,31/08/25,167812.59
12,349,1,982,77,125,31/08/25,387241.88
13,101,1,481,206,37,31/08/25,109918.12
14,356,1,793,166,120,31/08/25,79633.06
15,183,1,1216,256,78,31/08/25,97231.36
16,187,1,860,273,116,31/08/25,401774.8
17,241,1,1359,80,74,31/08/25,65517.39
18,2,1,81,91,92,31/08/25,33167.07
19,53,1,1287,273,62,31/08/25,54259.92
20,307,1,872,86,129,31/08/25,391667.52
21,266,1,84,206,21,31/08/25,6096.72
22,129,1,64,193,123,31/08/25,21560.32
23,317,1,507,69,114,31/08/25,44692.05
24,168,1,874,218,45,31/08/25,388973.7
25,160,1,848,294,91,31/08/25,417758.72
26,296,1,11,67,90,31/08/25,116.82
27,353,1,102,202,94,31/08/25,16209.84
28,396,1,1277,97,98,31/08/25,38207.84
29,263,1,1427,266,51,31/08/25,101745.1
30,373,1,846,184,116,31/08/25,269941.68
31,123,1,1118,51,51,31/08/25,334360.26
32,359,1,587,289,111,31/08/25,10912.33
33,253,1,487,141,138,31/08/25,235235.61
34,44,1,7,129,53,31/08/25,1952.79
35,3,1,417,228,123,31/08/25,60243.99
36,139,1,380,152,147,31/08/25,90139.8
37,215,1,73,144,81,31/08/25,24891.54
38,134,1,728,77,109,31/08/25,284043.76
39,60,1,443,278,59,31/08/25,105283.38
40,286,1,1194,213,92,31/08/25,131889.24
41,24,1,271,53,32,31/08/25,33449.53
42,262,1,708,191,136,31/08/25,43570.32
43,69,1,1350,70,101,31/08/25,228906
44,152,1,1115,182,105,31/08/25,28956.55
45,339,1,957,249,88,31/08/25,117318.63
46,195,1,1121,152,70,31/08/25,477848.67
47,378,1,95,224,54,31/08/25,47318.55
48,346,1,1112,65,62,31/08/25,528066.56
49,132,1,1140,131,116,31/08/25,252681
50,330,1,401,81,126,31/08/25,118908.53
51,391,1,1266,171,90,31/08/25,431452.8
52,31,1,1307,78,111,31/08/25,493052.68
53,308,1,251,229,135,31/08/25,103130.88
54,121,1,1025,56,81,31/08/25,165527.25
55,103,1,508,167,26,31/08/25,189773.56
56,194,1,410,129,53,31/08/25,3931.9
57,316,1,1051,168,118,31/08/25,235949.5
58,147,1,1037,164,88,31/08/25,459878.39
59,142,1,542,287,118,31/08/25,167656.86
60,66,1,284,147,89,31/08/25,100587.12
61,136,1,1235,243,106,31/08/25,172937.05
62,211,1,504,256,135,31/08/25,49543.2
63,386,1,516,177,142,31/08/25,187395.72
64,254,1,385,131,78,31/08/25,73223.15
65,161,1,949,70,50,31/08/25,382266.69
66,42,1,74,269,33,31/08/25,9210.78
67,259,1,1436,257,134,31/08/25,27930.2
68,207,1,1357,151,50,31/08/25,199628.27
69,380,1,1116,57,150,31/08/25,146887.92
70,338,1,472,97,47,31/08/25,79716.08
71,177,1,204,199,73,31/08/25,40795.92
72,157,1,530,181,72,31/08/25,119732.3
73,342,1,1385,164,95,31/08/25,261294.1
74,40,1,1243,227,110,31/08/25,356840.44
75,173,1,180,88,57,31/08/25,79225.2
76,190,1,965,287,41,31/08/25,437212.55
77,118,1,156,153,73,31/08/25,6678.36
78,246,1,799,278,122,31/08/25,178105.09
79,332,1,601,76,84,31/08/25,44846.62
80,197,1,1415,208,56,31/08/25,367984.9
81,19,1,693,130,22,31/08/25,54012.42
82,22,1,1325,268,40,31/08/25,354980.75
83,117,1,375,205,27,31/08/25,47040
84,93,1,1193,164,60,31/08/25,383609.15
85,75,1,1066,228,122,31/08/25,93115.1
86,358,1,346,276,118,31/08/25,103471.3
87,367,1,213,155,88,31/08/25,57433.32
88,199,1,769,170,42,31/08/25,252670.33
89,366,1,517,95,33,31/08/25,234676.64
90,301,1,1273,127,82,31/08/25,209141.17
91,47,1,163,292,27,31/08/25,25203.06
92,192,1,203,177,68,31/08/25,33287.94
93,46,1,1034,67,114,31/08/25,252999.12
94,36,1,116,172,104,31/08/25,40612.76
95,304,1,1277,141,144,31/08/25,380405.53
96,98,1,406,279,109,31/08/25,131320.7
97,68,1,841,217,81,31/08/25,121953.41
98,393,1,1012,250,93,31/08/25,442456.52
99,237,1,1199,278,61,31/08/25,448426
100,67,1,732,63,70,31/08/25,187816.56
101,222,1,94,163,92,31/08/25,12640.18
102,248,1,1064,173,88,31/08/25,435346.24
103,208,1,766,233,113,31/08/25,333562.36
104,369,1,396,196,78,31/08/25,71624.52
105,279,1,1269,224,110,31/08/25,68894.01
106,399,1,1296,116,56,31/08/25,367221.6
107,111,1,808,262,35,31/08/25,113297.76
108,116,1,521,74,74,31/08/25,107060.29
109,202,1,488,182,137,31/08/25,184756.8
110,203,1,214,215,25,31/08/25,88861.36
111,63,1,844,63,76,31/08/25,188895.64
