OrderID,CustomerID,OrderDate,RequiredDate,ShippedDate,OrderStatus,OrderValue,Priority,SalesRepID
1,931,27/04/22,11/05/22,03/05/22,Shipped,18360.08,Critical,71
2,529,21/11/23,14/12/23,28/11/23,Delivered,8667.45,Medium,74
3,627,22/10/23,08/11/23,,Processing,2356.94,Low,91
4,868,14/02/22,22/02/22,,Processing,35614.32,High,21
5,1069,26/11/24,05/12/24,27/11/24,Delivered,10442.27,Medium,49
6,434,26/08/24,31/08/24,,Pending,22302.6,Critical,52
7,449,14/06/24,04/07/24,15/06/24,Delivered,12939.82,Low,51
8,1146,31/07/22,06/08/22,,Processing,29171.94,Low,78
9,960,04/05/23,31/05/23,05/05/23,Shipped,20448.87,Medium,62
10,830,19/04/22,30/04/22,25/04/22,Delivered,5797.51,Low,49
11,761,28/10/24,03/11/24,29/10/24,Delivered,13490.93,Low,83
12,553,09/11/23,23/11/23,11/11/23,Shipped,7528.06,Low,14
13,743,27/11/22,01/12/22,28/11/22,Delivered,12847.6,High,78
14,688,04/06/23,29/06/23,,Processing,47465.77,Medium,4
15,334,13/04/24,21/04/24,16/04/24,Delivered,11332.32,Low,70
16,434,08/08/23,12/08/23,09/08/23,Delivered,19149.1,Low,77
17,634,18/06/22,19/06/22,,Processing,1925.63,High,25
18,414,20/05/22,07/06/22,,Cancelled,28153.14,High,82
19,493,03/04/23,03/05/23,04/04/23,Shipped,4549.35,Low,35
20,1157,19/02/24,22/02/24,24/02/24,Delivered,11144.19,Medium,6
21,991,03/09/24,22/09/24,,Processing,8095.77,Medium,6
22,645,11/04/24,13/04/24,,Pending,33310.74,High,12
23,731,15/07/24,25/07/24,16/07/24,Shipped,10093.4,Medium,97
24,1025,06/09/23,16/09/23,10/09/23,Shipped,9539.88,Medium,25
25,801,16/01/23,27/01/23,23/01/23,Delivered,13846.48,Low,93
26,266,05/02/23,17/02/23,,Cancelled,4519.49,High,90
27,679,21/11/23,13/12/23,22/11/23,Delivered,43507.13,High,53
28,1032,09/05/22,07/06/22,15/05/22,Delivered,28783.74,High,13
29,308,23/04/23,10/05/23,,Processing,14368.07,Low,4
30,783,13/06/23,02/07/23,,Pending,4922.67,Low,62
31,77,28/07/23,16/08/23,04/08/23,Shipped,4043.65,Low,38
32,949,08/11/24,14/11/24,10/11/24,Delivered,19140.75,Low,11
33,192,16/05/24,14/06/24,22/05/24,Shipped,8074.97,Medium,92
34,442,02/07/22,10/07/22,,Processing,3578.44,High,88
35,289,28/10/22,18/11/22,,Processing,10004.22,Critical,99
36,1028,25/11/24,18/12/24,27/11/24,Delivered,7677.85,Low,67
37,1072,14/11/22,08/12/22,,Pending,14347.03,High,99
38,269,12/11/24,23/11/24,16/11/24,Delivered,34396.64,Medium,44
39,883,08/03/22,18/03/22,11/03/22,Delivered,4052.67,Low,6
40,794,30/11/24,29/12/24,06/12/24,Shipped,15917.49,Low,31
41,154,28/07/22,04/08/22,02/08/22,Delivered,461.18,Medium,20
42,1019,10/06/24,29/06/24,16/06/24,Shipped,21029.14,Low,13
43,293,27/06/23,23/07/23,28/06/23,Shipped,18857.93,Low,99
44,1121,07/08/23,04/09/23,10/08/23,Delivered,1954.05,Medium,12
45,932,17/07/23,02/08/23,18/07/23,Delivered,22284.87,Medium,41
46,606,24/03/22,30/03/22,,Processing,14715.84,Medium,21
47,1181,25/04/23,28/04/23,28/04/23,Delivered,794.39,Medium,47
48,146,12/07/23,24/07/23,13/07/23,Delivered,47419.05,Medium,23
49,944,08/09/23,01/10/23,15/09/23,Delivered,2034.32,Medium,34
50,525,04/03/23,20/03/23,,Pending,3441.5,Low,98
51,906,27/10/23,25/11/23,,Pending,35792.35,Medium,84
52,254,15/08/22,14/09/22,17/08/22,Shipped,15461.29,Medium,73
53,745,04/01/22,20/01/22,05/01/22,Delivered,24957.82,Low,37
54,265,19/09/23,02/10/23,23/09/23,Delivered,12484.1,High,57
55,643,11/10/23,23/10/23,16/10/23,Shipped,27766.28,Low,48
56,847,10/01/22,13/01/22,16/01/22,Shipped,15045.86,Low,65
57,88,13/10/24,28/10/24,16/10/24,Delivered,12642.74,High,80
58,502,16/07/23,06/08/23,17/07/23,Delivered,60587.23,High,90
59,17,06/07/23,02/08/23,11/07/23,Delivered,19237.73,Low,20
60,596,29/02/24,28/03/24,01/03/24,Delivered,24718.49,Medium,49
61,818,11/10/22,17/10/22,16/10/22,Delivered,14327.51,High,10
62,947,22/07/24,30/07/24,26/07/24,Shipped,36339.98,Low,86
63,955,21/11/22,24/11/22,24/11/22,Shipped,16021.63,Medium,60
64,953,22/10/22,12/11/22,27/10/22,Delivered,4102.12,High,14
65,370,11/05/22,14/05/22,,Pending,6903.37,Medium,94
66,888,03/09/22,07/09/22,07/09/22,Delivered,23536.49,Low,26
67,674,08/08/23,21/08/23,,Processing,10651.26,Low,9
68,996,16/11/22,27/11/22,19/11/22,Delivered,4005.63,Low,28
69,976,02/12/23,25/12/23,08/12/23,Delivered,4874.09,Medium,15
70,79,28/10/24,06/11/24,01/11/24,Shipped,12465.49,Critical,70
71,963,01/11/22,06/11/22,,Cancelled,10111.75,Low,19
72,656,26/05/22,16/06/22,28/05/22,Delivered,14722.01,Low,73
73,779,14/08/24,16/08/24,19/08/24,Shipped,20106.76,Low,8
74,741,26/02/22,28/03/22,05/03/22,Delivered,15623.88,Medium,56
75,438,09/12/24,25/12/24,,Processing,7202.38,Low,7
76,47,19/12/24,26/12/24,26/12/24,Delivered,4620.1,Low,98
77,867,18/08/22,09/09/22,,Processing,5805.56,Medium,35
78,361,08/05/22,17/05/22,,Cancelled,19801.69,Low,11
79,561,12/12/23,17/12/23,13/12/23,Delivered,23288.58,High,52
80,925,24/11/23,27/11/23,27/11/23,Shipped,4319.14,Medium,54
81,532,30/11/24,17/12/24,02/12/24,Shipped,6481.29,Medium,24
82,190,22/12/22,18/01/23,23/12/22,Delivered,2134.24,Medium,55
83,609,02/11/24,13/11/24,,Processing,23275.07,High,22
84,859,25/08/24,01/09/24,28/08/24,Shipped,5593.89,Low,62
85,1097,17/10/22,02/11/22,,Pending,6965.65,Medium,89
86,895,27/05/22,22/06/22,29/05/22,Delivered,24425.52,Low,46
87,1169,10/09/24,10/10/24,16/09/24,Delivered,16651.83,Low,50
88,1149,19/11/22,16/12/22,20/11/22,Delivered,23404.68,Low,77
89,1185,14/12/24,21/12/24,15/12/24,Delivered,265.6,Low,79
