ProductionID,ProductID,ProductionDate,PlannedQuantity,ActualQuantity,ProductionCost,DowntimeMinutes,QualityDefects
1,76,09/04/23,712,659,11316.6,41,16
2,321,14/04/22,560,522,1861.41,80,4
3,371,24/05/23,704,723,1514.26,11,35
4,62,31/01/23,492,476,1139.38,42,4
5,250,25/02/22,672,583,2960.1,148,1
6,77,04/05/22,711,630,4786.77,146,20
7,61,23/01/22,70,61,1701.85,117,0
8,208,23/01/22,310,287,6211.28,13,19
9,119,17/02/22,600,566,14723.94,51,36
10,110,01/07/23,755,718,3340.62,106,37
11,117,10/04/23,200,197,6562.07,125,0
12,116,27/12/23,67,64,12097.05,151,1
13,48,24/04/24,83,74,5029.6,48,1
14,32,26/01/23,261,226,13406.27,83,1
15,204,12/06/24,52,44,3438.44,108,2
16,362,26/07/23,179,159,1225.29,111,6
17,345,29/09/24,235,201,9535.31,91,11
18,316,08/08/24,547,537,1022.73,39,33
19,135,24/05/23,382,350,6893.71,111,21
20,345,21/04/24,180,176,6044.29,126,11
21,235,20/01/23,66,67,14585.92,24,2
22,382,28/11/23,75,64,5619.32,104,4
23,108,28/10/24,412,413,7736.85,112,18
24,198,06/09/22,745,641,8366.05,27,25
25,71,09/09/24,341,304,8895.69,74,5
26,110,28/02/22,361,371,14495.8,105,13
27,59,13/12/23,690,606,4999.82,37,4
28,221,07/04/23,776,799,10544.64,164,40
29,224,15/04/22,62,59,5361.42,20,1
30,294,06/02/24,126,118,6007.61,120,7
31,347,29/12/22,789,762,4528.08,9,16
32,12,25/08/22,126,114,5179.94,111,1
33,271,28/06/23,294,265,1292.21,20,9
34,174,09/09/24,589,541,4933.06,68,9
35,384,15/12/24,78,69,2369.35,177,0
36,315,16/08/22,356,309,10847.82,138,17
37,364,10/03/24,348,350,7007.58,84,23
38,377,28/05/23,262,246,8251.99,89,6
39,77,23/09/23,244,214,12110.14,160,14
40,227,25/06/24,776,674,6798.02,112,8
41,257,03/07/22,459,402,12926.71,31,22
42,229,11/08/24,76,73,13558.84,46,0
43,347,12/11/24,712,646,12246.73,113,6
44,64,11/11/22,62,57,14472.09,27,0
45,391,11/07/24,739,651,9667.32,106,22
46,154,26/02/23,334,286,13843.06,147,12
47,193,25/07/22,249,253,5902.83,81,4
48,256,09/03/23,263,247,4464.36,48,13
49,145,19/07/23,88,80,13481.31,173,5
50,284,01/11/23,301,268,8963.38,54,9
51,201,14/12/22,411,369,9677.92,104,5
52,250,08/04/22,679,708,11765.83,117,7
53,199,28/03/24,359,329,1050.47,63,18
54,88,16/01/23,467,485,2233.57,123,7
55,241,02/01/24,213,216,14959.18,145,10
56,251,11/04/24,468,465,8035.28,76,12
57,40,15/08/22,475,464,14402.34,166,26
58,70,23/06/23,259,231,1144.34,140,2
59,290,29/07/24,755,733,5367.28,99,30
60,153,29/01/22,308,292,13931.62,105,6
61,146,23/12/22,755,706,7422.64,169,9
62,83,22/10/23,290,290,14080.95,75,0
