PurchaseOrderID,SupplierID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,TotalCost,Status
1,54,07/05/23,27/05/23,26/05/23,6378.98,Received
2,15,16/04/22,27/04/22,26/04/22,27453.42,Approved
3,33,26/08/24,02/10/24,30/09/24,42588.27,Pending
4,15,23/05/23,03/06/23,02/06/23,79395.45,Received
5,59,14/07/22,14/08/22,20/08/22,42243.81,Pending
6,50,22/09/23,02/11/23,31/10/23,9549.34,Received
7,71,17/09/23,05/10/23,04/10/23,35967.92,Approved
8,24,02/08/22,11/09/22,10/09/22,65448.11,Received
9,27,31/01/24,14/02/24,16/02/24,37525.32,Received
10,51,12/08/24,29/08/24,31/08/24,44892.76,Received
11,70,12/05/24,23/06/24,22/06/24,51874,Shipped
12,60,24/06/23,02/07/23,10/07/23,36556.27,Received
13,30,29/02/24,12/03/24,12/03/24,54069.19,Pending
14,64,08/06/23,20/07/23,18/07/23,9700.31,Pending
15,5,31/12/23,17/01/24,16/01/24,71312.04,Approved
16,3,03/04/24,13/04/24,15/04/24,32164.05,Received
17,46,20/06/23,30/07/23,28/07/23,90256.66,Pending
18,36,13/01/22,20/02/22,22/02/22,15060.02,Received
19,18,20/05/22,09/06/22,11/06/22,9165.12,Received
20,21,10/12/23,01/01/24,01/01/24,88125.52,Received
21,28,25/09/23,07/11/23,09/11/23,70723.1,Shipped
22,31,10/04/23,06/05/23,05/05/23,51504.2,Received
23,6,26/06/22,15/07/22,13/07/22,57056.22,Shipped
24,41,30/10/22,14/11/22,12/11/22,67974.52,Pending
25,41,04/01/23,19/01/23,18/01/23,94240.01,Approved
26,59,30/04/23,31/05/23,29/05/23,66951.07,Approved
27,1,20/12/24,01/01/25,07/01/25,98778.3,Received
28,65,14/11/22,22/11/22,23/11/22,48231.21,Pending
29,25,03/08/22,14/09/22,12/09/22,31780.3,Approved
30,20,05/02/24,24/02/24,25/02/24,10625.01,Shipped
31,42,12/01/22,30/01/22,28/01/22,55249.81,Approved
32,50,27/10/23,07/12/23,07/12/23,37613.69,Received
33,36,29/06/23,06/08/23,16/08/23,40213.03,Received
34,21,29/11/23,21/12/23,22/12/23,83367.16,Approved
35,36,13/02/22,23/03/22,24/03/22,43937.84,Shipped
36,26,17/12/24,23/01/25,30/01/25,16332.62,Pending
37,70,24/11/24,05/01/25,06/01/25,21225.54,Received
38,69,09/04/23,21/05/23,19/05/23,84530.44,Shipped
39,28,07/11/24,20/12/24,22/12/24,72397.19,Cancelled
40,37,01/07/24,07/07/24,05/07/24,68311.07,Received
41,61,03/12/22,24/12/22,26/12/22,98017.74,Cancelled
42,63,16/10/23,21/11/23,21/11/23,95845.55,Received
43,46,23/12/23,01/02/24,30/01/24,73580.37,Received
44,60,25/07/24,02/08/24,03/08/24,91109.56,Shipped
45,21,30/03/23,21/04/23,23/04/23,25415.36,Received
46,44,08/12/23,05/01/24,05/01/24,35828.97,Pending
47,32,20/06/24,25/06/24,26/06/24,35278.56,Received
48,34,29/11/22,13/01/23,11/01/23,22735.52,Received
49,24,14/12/23,23/01/24,25/01/24,24078.81,Received
50,53,17/06/23,28/06/23,28/06/23,81920.93,Approved
51,28,25/10/22,07/12/22,05/12/22,75064.61,Shipped
52,73,17/02/24,13/03/24,11/03/24,41530.68,Approved
53,4,05/02/24,23/02/24,22/02/24,88832.65,Received
54,1,09/01/22,21/01/22,21/01/22,40337.29,Pending
55,4,01/03/24,19/03/24,17/03/24,67569.09,Shipped
56,19,04/06/22,14/07/22,12/07/22,17414.13,Approved
57,31,19/02/23,17/03/23,18/03/23,7284.7,Received
58,18,29/07/24,18/08/24,17/08/24,35030.7,Received
59,75,17/03/23,26/03/23,25/03/23,41696.19,Shipped
60,24,31/05/23,10/07/23,09/07/23,21324.02,Cancelled
61,57,11/12/23,19/12/23,29/12/23,99507.9,Received
62,5,15/08/22,01/09/22,05/09/22,67524.63,Received
63,73,06/02/23,03/03/23,02/03/23,79962.14,Pending
64,39,28/11/24,08/12/24,10/12/24,63349.86,Pending
65,22,18/03/24,12/04/24,11/04/24,15766.89,Received
66,33,22/06/23,29/07/23,28/07/23,74092.14,Received
67,67,08/02/23,17/02/23,23/02/23,37619.67,Received
68,35,29/07/24,15/08/24,16/08/24,56170.21,Received
69,27,25/12/22,08/01/23,08/01/23,65542.46,Approved
70,32,12/02/24,17/02/24,18/02/24,67322.62,Shipped
71,1,09/09/24,21/09/24,28/09/24,41482.8,Received
72,15,29/08/24,09/09/24,10/09/24,9144.31,Shipped
73,55,23/08/22,24/09/22,22/09/22,75239.75,Shipped
74,18,28/09/23,18/10/23,19/10/23,26739.84,Shipped
75,13,13/10/22,23/11/22,30/11/22,42425.21,Shipped
76,35,09/11/24,26/11/24,24/11/24,16038.11,Received
77,74,12/11/22,16/12/22,14/12/22,54487.85,Pending
78,57,20/01/22,28/01/22,26/01/22,39671.92,Received
79,24,08/07/23,17/08/23,15/08/23,17309.71,Shipped
80,37,01/09/22,07/09/22,06/09/22,15744.11,Received
81,47,14/06/22,29/07/22,29/07/22,65231.87,Approved
82,2,14/01/23,27/01/23,28/01/23,29978.27,Shipped
83,40,20/05/23,02/06/23,31/05/23,14203.34,Cancelled
84,23,21/01/22,24/02/22,22/02/22,17877.33,Received
85,47,25/03/22,09/05/22,08/05/22,20531.42,Received
86,49,29/06/22,04/08/22,08/08/22,35902.36,Received
87,43,07/03/23,24/03/23,26/03/23,69334.68,Approved
88,49,03/04/24,09/05/24,08/05/24,13585.53,Received
89,26,28/01/24,05/03/24,04/03/24,63710.33,Shipped
90,19,13/02/23,25/03/23,25/03/23,71737,Shipped
91,5,12/04/24,29/04/24,28/04/24,93296.92,Pending
92,58,19/09/23,29/09/23,28/09/23,68505.57,Received
93,6,06/07/24,25/07/24,25/07/24,69989.99,Shipped
94,42,12/12/22,30/12/22,01/01/23,39262,Received
95,64,25/11/24,06/01/25,08/01/25,6247.63,Received
96,15,10/12/23,21/12/23,22/12/23,60481.38,Received
97,27,01/05/23,15/05/23,14/05/23,30442.83,Pending
98,27,18/04/22,02/05/22,01/05/22,85345.33,Received
99,51,23/04/24,10/05/24,12/05/24,97151.09,Approved
100,45,15/06/22,05/07/22,03/07/22,65044.87,Approved
101,72,14/11/24,14/12/24,14/12/24,65380.35,Shipped
102,6,07/04/23,26/04/23,28/04/23,42199.68,Pending
103,56,09/06/22,12/07/22,13/07/22,14341.35,Received
104,50,22/12/23,01/02/24,02/02/24,42662.95,Received
105,27,22/06/23,06/07/23,15/07/23,61108.58,Shipped
106,18,15/04/23,05/05/23,11/05/23,77895.57,Received
107,31,09/08/22,04/09/22,06/09/22,68784.61,Received
108,7,01/09/23,16/09/23,17/09/23,77938.42,Shipped
109,44,31/05/24,28/06/24,26/06/24,82073.62,Approved
110,68,24/11/24,24/12/24,24/12/24,28223.25,Pending
111,7,07/03/22,22/03/22,22/03/22,96712.16,Received
112,5,19/11/24,06/12/24,08/12/24,42764.46,Shipped
113,35,08/03/22,25/03/22,24/03/22,84507.82,Received
114,27,08/06/22,22/06/22,24/06/22,87465.26,Received
115,9,13/12/22,11/01/23,12/01/23,55867.95,Pending
116,38,25/04/24,15/05/24,13/05/24,52289.1,Shipped
117,42,24/02/24,13/03/24,12/03/24,90124.06,Shipped
118,15,12/01/24,23/01/24,22/01/24,87032.64,Received
119,20,15/04/23,04/05/23,12/05/23,57276.39,Approved
120,24,04/05/22,13/06/22,13/06/22,98228.63,Shipped
121,33,19/05/23,25/06/23,25/06/23,34393.56,Approved
122,69,06/10/23,17/11/23,20/11/23,62372.91,Approved
123,1,17/10/23,29/10/23,31/10/23,10024.67,Shipped
124,48,06/07/24,01/08/24,03/08/24,40048.96,Shipped
125,15,02/11/23,13/11/23,13/11/23,90534.37,Pending
126,75,23/10/23,01/11/23,01/11/23,55982.13,Pending
127,3,22/12/23,01/01/24,04/01/24,34109.21,Approved
128,57,08/04/24,16/04/24,15/04/24,5707.99,Received
129,3,13/05/24,23/05/24,25/05/24,27289.84,Approved
130,1,03/09/22,15/09/22,17/09/22,67666.58,Received
131,2,21/05/24,03/06/24,04/06/24,11541.32,Received
132,52,18/04/24,20/05/24,20/05/24,99353.58,Approved
133,24,27/09/22,06/11/22,06/11/22,20841.45,Received
134,75,03/08/22,12/08/22,14/08/22,21198.69,Shipped
135,26,03/08/22,09/09/22,09/09/22,88912.09,Received
136,45,04/05/23,24/05/23,26/05/23,90601.29,Received
137,4,16/04/23,04/05/23,06/05/23,92761.4,Shipped
138,18,16/07/23,05/08/23,04/08/23,45199.38,Received
139,67,28/08/23,06/09/23,09/09/23,54525.65,Shipped
140,61,22/05/24,12/06/24,11/06/24,14427.03,Received
141,42,26/07/23,13/08/23,12/08/23,27593.03,Received
142,50,16/05/24,26/06/24,01/07/24,16657.37,Cancelled
143,27,13/06/22,27/06/22,27/06/22,59241.14,Received
144,69,16/07/23,27/08/23,26/08/23,95568.27,Shipped
145,52,16/11/24,18/12/24,17/12/24,62358.44,Approved
146,46,19/08/22,28/09/22,29/09/22,46754.74,Received
147,55,11/08/24,12/09/24,16/09/24,36339.06,Cancelled
148,15,20/04/23,01/05/23,01/05/23,82932.06,Received
149,62,13/08/23,14/09/23,15/09/23,75325.46,Shipped
150,15,24/09/24,05/10/24,03/10/24,25946.43,Approved
151,12,19/02/23,14/03/23,16/03/23,83537.57,Received
152,67,17/07/22,26/07/22,27/07/22,60984.96,Received
153,33,05/06/22,12/07/22,20/07/22,30754.16,Received
154,42,31/12/22,18/01/23,19/01/23,22736.82,Pending
155,44,22/06/23,20/07/23,20/07/23,11150.89,Shipped
156,56,25/06/24,28/07/24,27/07/24,65345.77,Received
157,70,23/10/23,04/12/23,04/12/23,72012.26,Shipped
