ShipmentID,OrderID,CarrierID,WarehouseID,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ShippingCost,ShipmentStatus,TrackingNumber
1,1,6,5,03/05/22,11/05/22,,20.67,Lost,TRK981390084
2,2,20,11,28/11/23,02/12/23,04/12/23,49,Delivered,TRK267162833
3,5,10,10,27/11/24,29/11/24,28/11/24,10.49,In Transit,TRK628393910
4,7,13,9,15/06/24,21/06/24,23/06/24,30.34,In Transit,TRK292590242
5,9,7,19,05/05/23,14/05/23,,24.14,Delivered,TRK242463534
6,10,22,13,25/04/22,26/04/22,26/04/22,23.67,In Transit,TRK460078239
7,11,20,20,29/10/24,01/11/24,02/11/24,46.17,Delivered,TRK719307351
8,12,3,20,11/11/23,21/11/23,,38.34,Delivered,TRK555401697
9,13,23,19,28/11/22,08/12/22,07/12/22,5.21,Delivered,TRK683290098
10,15,6,10,16/04/24,21/04/24,23/04/24,29.91,Delivered,TRK934634378
11,16,17,2,09/08/23,13/08/23,13/08/23,32.73,Delivered,TRK798722906
12,19,18,13,04/04/23,11/04/23,,45.82,Delivered,TRK357870364
13,20,15,17,24/02/24,03/03/24,04/03/24,41.48,In Transit,TRK648998904
14,23,13,20,16/07/24,24/07/24,,17.24,Delivered,TRK725079890
15,24,24,15,10/09/23,16/09/23,,40.85,Delivered,TRK724644094
16,25,23,13,23/01/23,01/02/23,01/02/23,14.96,Delivered,TRK102606414
17,27,13,13,22/11/23,01/12/23,02/12/23,31.65,Delayed,TRK675442334
18,28,14,20,15/05/22,25/05/22,27/05/22,45.17,Delivered,TRK229449799
19,31,11,9,04/08/23,05/08/23,,39.25,Delivered,TRK461479800
20,32,3,20,10/11/24,11/11/24,12/11/24,49.65,In Transit,TRK458482150
21,33,6,20,22/05/24,23/05/24,,9.05,Delivered,TRK337411871
22,36,8,8,27/11/24,28/11/24,30/11/24,15.51,In Transit,TRK292029058
23,38,14,11,16/11/24,20/11/24,22/11/24,19.88,In Transit,TRK589142559
24,39,22,5,11/03/22,21/03/22,22/03/22,44.73,Delivered,TRK393126073
25,40,4,1,06/12/24,11/12/24,,48.34,Delivered,TRK454981239
26,41,10,7,02/08/22,08/08/22,08/08/22,9.3,Delivered,TRK791053308
27,42,15,20,16/06/24,17/06/24,,27.53,In Transit,TRK422989205
28,43,3,14,28/06/23,01/07/23,,5.85,Delivered,TRK209904841
29,44,19,5,10/08/23,15/08/23,17/08/23,6.33,Delivered,TRK892747611
30,45,17,8,18/07/23,21/07/23,21/07/23,12.64,In Transit,TRK713601316
31,47,22,14,28/04/23,02/05/23,01/05/23,29.19,In Transit,TRK334295299
32,48,1,8,13/07/23,21/07/23,22/07/23,41.49,In Transit,TRK896814383
33,49,5,16,15/09/23,20/09/23,20/09/23,34.98,Delivered,TRK144579869
34,52,11,19,17/08/22,24/08/22,,25.03,Delivered,TRK742772395
35,53,25,13,05/01/22,08/01/22,08/01/22,43.41,Delayed,TRK392522630
36,54,11,10,23/09/23,29/09/23,01/10/23,28.18,Lost,TRK990221277
37,55,8,15,16/10/23,25/10/23,,30.9,Delivered,TRK489920245
38,56,23,8,16/01/22,22/01/22,,16.62,Delivered,TRK365793239
39,57,8,6,16/10/24,25/10/24,26/10/24,21.01,In Transit,TRK870255742
40,58,18,17,17/07/23,27/07/23,26/07/23,8.53,Delivered,TRK188103945
41,59,20,18,11/07/23,21/07/23,22/07/23,19.26,Delivered,TRK256194897
42,60,3,14,01/03/24,07/03/24,12/03/24,44.59,Delivered,TRK101804984
43,61,21,12,16/10/22,25/10/22,25/10/22,23.93,Delayed,TRK296028269
44,62,7,19,26/07/24,05/08/24,,40.86,Delivered,TRK779053253
45,63,2,7,24/11/22,29/11/22,,15.89,In Transit,TRK125109310
46,64,4,17,27/10/22,28/10/22,29/10/22,40.89,In Transit,TRK904332227
47,66,7,3,07/09/22,13/09/22,12/09/22,27.03,Delivered,TRK479226710
48,68,24,8,19/11/22,28/11/22,28/11/22,35.92,In Transit,TRK708402751
49,69,4,13,08/12/23,13/12/23,13/12/23,38.89,Delivered,TRK898605402
50,70,5,3,01/11/24,10/11/24,,16.93,Delayed,TRK490651686
51,72,2,9,28/05/22,01/06/22,02/06/22,41.08,Delayed,TRK340532520
52,73,13,12,19/08/24,27/08/24,,46.68,Delivered,TRK504373450
53,74,4,19,05/03/22,14/03/22,14/03/22,30.31,In Transit,TRK633344800
54,76,7,3,26/12/24,01/01/25,01/01/25,33.85,Delayed,TRK866906203
55,79,13,18,13/12/23,17/12/23,18/12/23,21.59,Delayed,TRK557829030
56,80,22,2,27/11/23,06/12/23,,33.03,Delayed,TRK817978436
57,81,2,13,02/12/24,09/12/24,,20.48,Delivered,TRK672349488
58,82,15,1,23/12/22,24/12/22,23/12/22,28.94,Delivered,TRK359612059
59,84,20,13,28/08/24,31/08/24,,40.06,In Transit,TRK962349344
60,86,8,2,29/05/22,06/06/22,05/06/22,28.08,In Transit,TRK306355635
61,87,25,7,16/09/24,21/09/24,21/09/24,15.85,Delivered,TRK595791538
62,88,14,17,20/11/22,26/11/22,25/11/22,32.81,Delivered,TRK369714522
63,89,15,3,15/12/24,18/12/24,19/12/24,32.67,In Transit,TRK961410797
64,90,17,4,20/11/23,25/11/23,24/11/23,12.86,Delivered,TRK817483944
65,91,3,3,16/01/22,17/01/22,,13.87,In Transit,TRK796894448
66,92,12,20,28/01/23,30/01/23,06/02/23,9.45,Delivered,TRK171041834
67,93,6,3,13/03/24,18/03/24,,21.69,In Transit,TRK344884306
68,94,6,13,07/11/22,09/11/22,11/11/22,19.3,Delivered,TRK307328946
69,95,25,4,14/10/22,23/10/22,22/10/22,37.59,In Transit,TRK738419963
70,97,3,4,25/12/23,29/12/23,29/12/23,41.09,Delivered,TRK233009958
71,98,11,8,13/08/24,14/08/24,,24.68,Delivered,TRK222373683
72,99,23,12,27/10/24,06/11/24,05/11/24,12.84,In Transit,TRK186599061
73,100,20,20,02/10/23,10/10/23,10/10/23,8.58,Delivered,TRK432375840
74,101,7,11,05/03/24,14/03/24,13/03/24,17.38,Delivered,TRK564181843
75,103,17,16,07/11/24,14/11/24,19/11/24,39.46,Delayed,TRK158440514
76,106,24,20,31/10/23,08/11/23,15/11/23,46.96,Delivered,TRK280808514
77,107,12,12,16/08/22,23/08/22,25/08/22,12.33,Delivered,TRK961277022
78,108,20,3,02/05/23,08/05/23,09/05/23,31.54,In Transit,TRK271972644
79,109,23,3,27/12/22,30/12/22,,32.53,Delivered,TRK176168905
80,110,7,14,19/08/22,24/08/22,25/08/22,48.04,Delivered,TRK425254159
81,111,15,18,27/11/23,30/11/23,29/11/23,5.03,Delivered,TRK202688121
82,113,6,6,11/03/23,17/03/23,,44.68,In Transit,TRK999215255
83,115,6,19,14/03/24,15/03/24,17/03/24,27.67,Lost,TRK298414398
84,116,7,17,22/04/23,25/04/23,27/04/23,33.69,Delivered,TRK359751956
85,117,22,7,14/06/22,19/06/22,24/06/22,12.93,In Transit,TRK261410447
86,119,25,9,02/07/23,08/07/23,,25.7,Delivered,TRK461026183
87,120,21,6,23/05/23,25/05/23,24/05/23,10.11,In Transit,TRK503433036
88,121,19,15,19/06/24,29/06/24,01/07/24,19.83,In Transit,TRK293685988
89,122,16,13,19/07/22,22/07/22,23/07/22,48.55,Delivered,TRK493474075
90,124,21,18,01/11/24,03/11/24,03/11/24,10.33,Delivered,TRK729186334
91,126,24,16,06/11/22,08/11/22,,8.22,In Transit,TRK491991154
92,127,22,20,09/12/22,12/12/22,13/12/22,11.47,Delivered,TRK903137039
93,129,15,16,19/06/24,26/06/24,28/06/24,7.23,Delivered,TRK697150169
94,130,14,5,27/01/24,29/01/24,05/02/24,42.88,Delivered,TRK149084117
95,131,14,4,29/07/22,03/08/22,05/08/22,22,Delivered,TRK254298513
96,133,20,16,18/04/23,25/04/23,27/04/23,40.71,Delivered,TRK436581203
97,134,4,15,17/05/23,26/05/23,26/05/23,25.41,Delivered,TRK377022812
98,135,17,19,10/12/23,15/12/23,,8.4,In Transit,TRK620894097
99,136,13,11,19/03/23,26/03/23,28/03/23,47.87,Delivered,TRK821398465
100,137,2,3,09/03/24,18/03/24,20/03/24,36.57,Delivered,TRK269887243
101,138,23,8,03/06/22,11/06/22,12/06/22,5.08,Delivered,TRK795793363
102,139,19,18,03/04/24,10/04/24,12/04/24,45.17,Delivered,TRK742898861
103,140,9,17,17/01/22,21/01/22,20/01/22,35.3,Delivered,TRK185250349
104,141,22,20,25/04/22,27/04/22,28/04/22,48.49,In Transit,TRK922753726
105,142,6,7,03/03/23,10/03/23,,27.01,Delivered,TRK882813508
106,143,24,18,05/05/22,15/05/22,16/05/22,8.71,Lost,TRK547052822
107,144,19,10,17/01/22,25/01/22,27/01/22,7.21,Lost,TRK806479677
108,145,19,7,05/07/24,10/07/24,,37.46,Delivered,TRK924918822
109,147,21,10,30/05/22,06/06/22,05/06/22,45.63,In Transit,TRK605061430
110,149,2,3,27/10/22,03/11/22,02/11/22,15.48,In Transit,TRK635505023
111,150,9,3,26/10/24,30/10/24,30/10/24,15.19,Delivered,TRK231612603
112,152,11,4,22/05/24,28/05/24,27/05/24,23.94,Lost,TRK370989510
113,153,21,9,14/01/22,21/01/22,22/01/22,17.57,Lost,TRK478906121
114,154,12,2,17/05/24,20/05/24,20/05/24,35.14,Delivered,TRK361804883
115,155,3,3,24/08/23,31/08/23,30/08/23,9.86,Delivered,TRK281559709
116,156,23,12,18/06/24,28/06/24,30/06/24,46.21,Delivered,TRK621086717
117,158,15,2,06/04/22,11/04/22,12/04/22,28.76,Delayed,TRK660985306
118,159,8,5,05/06/22,12/06/22,14/06/22,14.7,Delivered,TRK585409700
119,161,14,15,06/09/24,10/09/24,12/09/24,38.39,Delivered,TRK507155800
120,162,15,3,18/06/24,22/06/24,24/06/24,35.85,In Transit,TRK174244841
121,164,24,2,14/06/23,22/06/23,21/06/23,43.33,Delivered,TRK862885951
122,165,21,2,29/09/22,03/10/22,05/10/22,11.02,Delivered,TRK384147457
123,166,8,9,24/08/23,29/08/23,,21.03,In Transit,TRK852606061
124,169,9,17,27/01/22,02/02/22,04/02/22,37.84,Delayed,TRK175310609
125,170,7,9,21/02/22,03/03/22,04/03/22,22.84,Delivered,TRK818257828
126,171,16,17,26/08/23,30/08/23,30/08/23,27.12,Delivered,TRK849710769
127,173,11,14,31/08/24,05/09/24,,37.96,Delivered,TRK983672845
128,174,6,13,04/04/23,11/04/23,11/04/23,19.72,Delivered,TRK236418271
129,175,16,15,06/01/22,13/01/22,,5.95,In Transit,TRK658503156
130,176,2,17,05/09/22,13/09/22,18/09/22,29.94,Delivered,TRK108741252
131,177,2,19,11/09/22,15/09/22,16/09/22,39,Delivered,TRK523788461
132,180,23,11,16/11/22,22/11/22,22/11/22,34.48,Delayed,TRK503897509
133,181,1,10,07/10/24,10/10/24,,49.32,In Transit,TRK659095229
134,182,9,15,25/01/24,28/01/24,02/02/24,36.31,Delivered,TRK183257256
135,183,11,15,29/01/24,01/02/24,01/02/24,28.94,In Transit,TRK898709870
136,189,15,2,15/11/24,17/11/24,19/11/24,21.14,Delivered,TRK302091509
137,190,3,14,07/11/22,15/11/22,14/11/22,13.28,In Transit,TRK816967179
138,192,15,3,04/01/23,08/01/23,14/01/23,35.3,Delivered,TRK816418330
139,193,8,16,01/02/23,07/02/23,06/02/23,5.21,In Transit,TRK279422872
140,194,7,9,12/10/24,18/10/24,,9.73,Delivered,TRK804215783
141,195,17,8,07/04/22,16/04/22,15/04/22,49.8,Delayed,TRK538138374
142,197,18,2,20/06/22,23/06/22,,5.63,In Transit,TRK190640248
143,198,13,14,22/04/23,28/04/23,,13.94,Delivered,TRK796675815
144,199,3,1,08/01/23,16/01/23,16/01/23,5.28,In Transit,TRK397737901
145,200,24,7,22/07/22,29/07/22,31/07/22,34.74,In Transit,TRK355873655
